iter	Passed	Remaining
0	146	146760
1	147	73646
2	148	49194
3	148	36963
4	149	29687
5	149	24820
6	150	21314
7	150	18697
8	151	16681
9	152	15075
10	153	13768
11	153	12669
12	154	11739
13	155	10933
14	155	10232
15	156	9611
16	156	9073
17	157	8587
18	157	8156
19	158	7767
20	159	7413
21	159	7097
22	160	6809
23	160	6544
24	161	6297
25	162	6072
26	162	5863
27	163	5670
28	163	5488
29	164	5319
30	165	5158
31	165	5008
32	166	4867
33	166	4736
34	167	4609
35	167	4492
36	168	4377
37	168	4270
38	169	4169
39	169	4074
40	170	3983
41	170	3896
42	171	3814
43	171	3734
44	172	3659
45	172	3587
46	173	3520
47	174	3455
48	174	3392
49	175	3330
50	175	3270
51	176	3212
52	176	3156
53	177	3103
54	177	3052
55	178	3006
56	178	2960
57	179	2915
58	180	2871
59	180	2830
60	181	2788
61	181	2748
62	182	2709
63	182	2672
64	183	2637
65	183	2601
66	184	2567
67	184	2534
68	185	2501
69	185	2470
70	186	2439
71	186	2409
72	187	2381
73	188	2353
74	188	2326
75	189	2301
76	189	2275
77	190	2249
78	190	2225
79	191	2200
80	191	2176
81	192	2153
82	192	2128
83	193	2105
84	193	2083
85	194	2062
86	194	2041
87	195	2021
88	195	2001
89	196	1982
90	196	1963
91	197	1945
92	197	1926
93	198	1908
94	198	1891
95	198	1873
96	199	1856
97	199	1839
98	200	1823
99	200	1807
100	201	1791
101	201	1775
102	202	1760
103	202	1745
104	203	1731
105	203	1719
106	204	1705
107	204	1692
108	205	1678
109	205	1665
110	206	1651
111	206	1638
112	207	1626
113	207	1613
114	208	1601
115	208	1588
116	208	1576
117	209	1564
118	209	1552
119	210	1541
120	210	1530
121	211	1518
122	211	1507
123	211	1497
124	212	1486
125	212	1476
126	213	1465
127	213	1455
128	214	1446
129	214	1436
130	215	1426
131	215	1417
132	215	1407
133	216	1398
134	216	1389
135	217	1380
136	217	1371
137	218	1363
138	218	1355
139	219	1348
140	220	1340
141	220	1331
142	220	1323
143	221	1316
144	221	1308
145	222	1300
146	222	1293
147	223	1285
148	223	1278
149	224	1270
150	224	1263
151	225	1255
152	225	1248
153	226	1241
154	226	1234
155	226	1227
156	227	1220
157	227	1215
158	228	1208
159	229	1202
160	229	1195
161	229	1189
162	230	1182
