iter	Passed	Remaining
0	154	154658
1	155	77560
2	155	51811
3	156	38954
4	157	31257
5	157	26132
6	158	22436
7	158	19693
8	159	17571
9	160	15861
10	160	14442
11	161	13284
12	162	12317
13	162	11461
14	163	10735
15	163	10085
16	164	9512
17	165	9008
18	165	8559
19	166	8151
20	166	7782
21	167	7445
22	168	7137
23	168	6855
24	169	6595
25	169	6353
26	170	6131
27	170	5924
28	171	5736
29	171	5556
30	172	5388
31	172	5231
32	173	5082
33	174	4943
34	174	4810
35	174	4686
36	175	4565
37	175	4454
38	176	4349
39	177	4248
40	177	4154
41	178	4064
42	178	3977
43	179	3894
44	179	3814
45	180	3739
46	180	3668
47	181	3598
48	182	3532
49	182	3468
50	183	3405
51	183	3346
52	184	3290
53	184	3235
54	185	3184
55	185	3132
56	186	3083
57	186	3036
58	187	2990
59	188	2946
60	188	2902
61	189	2861
62	189	2821
63	190	2783
64	190	2745
65	191	2707
66	191	2671
67	192	2636
68	192	2602
69	193	2570
70	194	2538
71	194	2507
72	195	2479
73	195	2449
74	196	2421
75	196	2394
76	197	2367
77	198	2341
78	198	2315
79	199	2291
80	199	2266
81	200	2242
82	200	2216
83	201	2193
84	201	2170
85	202	2149
86	202	2128
87	203	2108
88	203	2087
89	204	2067
90	205	2048
91	205	2029
92	206	2009
93	206	1991
94	207	1973
95	207	1955
96	208	1937
97	208	1920
98	209	1904
99	209	1888
100	210	1872
101	210	1856
102	211	1840
103	211	1824
104	212	1810
105	212	1795
106	213	1781
107	213	1767
108	214	1754
109	215	1740
110	215	1727
111	216	1714
112	216	1701
113	217	1688
114	217	1675
115	218	1663
116	218	1649
117	219	1637
118	219	1625
119	220	1613
120	220	1602
121	220	1590
122	221	1579
123	221	1568
124	222	1557
125	222	1546
126	223	1534
127	223	1523
128	224	1513
129	224	1503
130	225	1493
131	225	1483
132	226	1473
133	226	1463
134	227	1454
135	227	1445
136	228	1437
137	228	1427
138	229	1418
139	229	1409
140	229	1400
141	230	1391
142	230	1382
143	231	1374
144	231	1365
145	232	1357
146	232	1348
147	232	1340
148	233	1333
149	233	1325
150	234	1318
151	234	1310
152	235	1303
153	235	1295
154	236	1288
155	236	1281
156	237	1274
157	237	1266
158	238	1259
159	238	1252
160	238	1245
161	239	1238
162	239	1232
163	240	1226
164	241	1219
165	241	1213
166	241	1206
167	242	1200
168	242	1194
169	243	1187
170	243	1181
171	244	1175
172	244	1169
173	245	1163
174	245	1158
175	246	1152
176	246	1147
177	247	1141
178	247	1135
179	248	1130
180	248	1124
181	248	1118
182	249	1113
183	249	1107
184	250	1102
185	250	1096
186	251	1091
187	251	1086
188	252	1082
189	252	1077
190	253	1072
191	253	1067
192	254	1062
193	254	1057
194	255	1053
195	255	1049
196	256	1044
197	256	1039
198	257	1035
199	257	1030
200	258	1026
201	258	1022
202	259	1018
203	259	1013
204	260	1009
205	260	1004
206	261	1000
207	261	996
208	262	991
209	262	987
210	262	983
211	263	979
212	263	974
213	264	971
214	264	967
215	265	963
216	265	959
217	266	955
218	266	951
219	267	947
220	267	943
221	268	939
222	268	936
223	269	932
224	269	929
225	270	925
226	270	921
227	271	918
228	271	915
229	272	911
230	272	908
231	273	904
232	273	901
233	274	897
234	274	894
235	275	890
236	275	887
237	275	883
238	276	880
239	276	876
240	277	873
241	277	870
242	278	866
243	278	863
244	279	860
245	279	857
246	280	853
247	280	850
248	281	847
249	281	844
250	282	841
251	282	838
252	283	836
253	283	833
254	284	830
255	284	827
256	285	825
257	285	822
258	286	819
259	286	816
260	287	813
261	287	810
262	288	807
263	288	804
264	289	802
265	289	799
266	290	796
267	290	793
268	291	791
269	292	789
270	292	786
271	292	784
272	293	781
273	293	778
274	294	776
275	294	773
276	295	771
277	295	768
278	296	766
279	296	763
280	297	761
281	298	759
282	298	756
283	299	754
284	299	751
285	300	749
286	300	746
287	300	744
288	301	741
289	302	739
290	302	737
291	303	734
292	303	732
293	304	730
294	304	728
295	305	725
296	305	723
297	306	720
298	306	718
299	306	716
300	307	713
301	308	711
302	308	709
303	308	707
304	309	705
305	310	703
306	310	700
307	311	698
308	311	696
309	312	695
310	312	693
311	313	690
312	313	688
313	314	686
314	314	684
315	315	682
316	315	680
317	316	678
